id,radius1,lambda1,lambda2,convexity,sphericity,varCurv,intCurv,b1,b2,muK,IK2,varK
3019,1.0953406276e-01,3.7083562999e-01,3.3283669387e-01,9.9857219722e-01,1.0000000000e+00,5.0793904505e-03,1.0593614822e+01,3.7090000000e-01,3.3850000000e-01,2.2850451783e+00,7.9125357758e-02,2.5069436058e-01
3020,-1.1475887371e-01,3.8507572519e-01,3.3289477169e-01,9.9796201761e-01,9.8841930561e-01,5.7722897432e-03,9.8751131630e+00,3.8110000000e-01,3.3840000000e-01,2.5933824755e+00,1.2066229012e-01,7.2322183311e-01
3021,-1.8189672168e-01,3.9326926451e-01,3.4052027091e-01,9.9793463036e-01,9.7629514742e-01,1.4688107137e-02,9.1353253113e+00,4.0430000000e-01,3.2920000000e-01,2.4056981675e+00,9.3344175451e-02,3.0817534114e-01
3022,1.4000628027e-01,3.5516521919e-01,3.2499525810e-01,9.9886217945e-01,1.0000000000e+00,6.6014194506e-04,1.2696524469e+01,3.4810000000e-01,3.4140000000e-01,2.2292457033e+00,8.8024604987e-02,3.8207945900e-01
3023,2.5805181274e-01,3.5355020181e-01,3.3410942957e-01,9.9967078449e-01,1.0000000000e+00,9.4191382992e-04,1.2328095041e+01,3.5290000000e-01,3.3330000000e-01,1.9321609409e+00,3.6536989316e-02,0.0000000000e+00
3024,2.8047269533e-01,3.7159811137e-01,3.2787684116e-01,9.9955388947e-01,1.0000000000e+00,3.2825724222e-03,1.2074471115e+01,3.6940000000e-01,3.4060000000e-01,2.0190112479e+00,5.0098303911e-02,1.2558869702e-02
3025,-1.2547744412e-01,4.5281659404e-01,4.1972135429e-01,5.2910252559e-01,5.3955973409e-01,1.2979117729e+00,1.4658142377e+01,5.0060000000e-01,2.8230000000e-01,3.7843575524e+00,1.3408405457e-01,1.0000000000e+00
3026,-2.6272210645e-02,3.6679374029e-01,3.2232064199e-01,9.9871312308e-01,1.0000000000e+00,4.9950601801e-03,1.0472687806e+01,3.5060000000e-01,3.5020000000e-01,2.4419755004e+00,9.6908468824e-02,5.1310228233e-01
3027,-4.1180903969e-01,4.2421073832e-01,3.0366727648e-01,9.9707168003e-01,9.1896183679e-01,1.0603011421e-02,5.4307879852e+00,3.9770000000e-01,3.8590000000e-01,2.7966668108e+00,1.5301234939e-01,7.2817292598e-01
3028,-1.5245957799e-01,3.7986964797e-01,3.3029665661e-01,9.9791541551e-01,9.8951898329e-01,3.9851313825e-03,9.5506847420e+00,3.8850000000e-01,3.3240000000e-01,2.5784636739e+00,9.7437330970e-02,8.1028861249e-01
3029,1.8566385130e-01,3.4213871882e-01,3.3252479381e-01,9.9983761402e-01,1.0000000000e+00,5.2105056358e-04,1.2139392107e+01,3.3900000000e-01,3.3590000000e-01,1.9369035898e+00,3.0544841505e-02,0.0000000000e+00
